Round,Client_ID,Full_L2,L2_Threshold,Full_Var,Var_Threshold,Min_Cos,Comb_Cluster,Score,Status
1,0,35.0147,35.3434,1.1983,1.2177,0.0000,0,1.00,SUSPECT
1,1,33.2057,35.3434,1.0775,1.2177,0.0000,0,1.65,NORMAL
1,2,33.6117,35.3434,1.1040,1.2177,0.0000,0,1.45,NORMAL
1,3,34.5939,35.3434,1.1695,1.2177,0.0000,-1,1.00,SUSPECT
1,4,32.9818,35.3434,1.0633,1.2177,0.0000,0,1.00,SUSPECT
1,5,33.2870,35.3434,1.0831,1.2177,0.0000,0,2.63,NORMAL
1,6,32.9338,35.3434,1.0602,1.2177,0.0000,-1,1.00,SUSPECT
1,7,32.6026,35.3434,1.0390,1.2177,0.0000,-1,1.00,SUSPECT
1,8,34.5424,35.3434,1.1657,1.2177,0.0000,0,1.39,NORMAL
1,9,33.6240,35.3434,1.1049,1.2177,0.0000,0,1.39,NORMAL
1,10,32.9834,35.3434,1.0632,1.2177,0.0000,0,1.12,NORMAL
1,11,32.5649,35.3434,1.0355,1.2177,0.0000,0,1.26,NORMAL
1,12,33.1586,35.3434,1.0744,1.2177,0.0000,0,1.43,NORMAL
1,13,33.9674,35.3434,1.1277,1.2177,0.0000,0,2.12,NORMAL
1,14,34.1344,35.3434,1.1388,1.2177,0.0000,0,1.44,NORMAL
1,15,32.6704,35.3434,1.0433,1.2177,0.0000,0,1.37,NORMAL
1,16,33.7450,35.3434,1.1130,1.2177,0.0000,0,1.01,NORMAL
1,17,34.3523,35.3434,1.1534,1.2177,0.0000,-1,1.00,SUSPECT
1,18,33.6221,35.3434,1.1049,1.2177,0.0000,0,2.07,NORMAL
1,19,33.6421,35.3434,1.1062,1.2177,0.0000,-1,1.00,SUSPECT
2,0,27.5975,28.8685,0.7445,0.8171,0.0000,0,2.23,NORMAL
2,1,26.6099,28.8685,0.6911,0.8171,0.0000,0,1.32,NORMAL
2,2,27.5893,28.8685,0.7437,0.8171,0.0000,0,1.21,NORMAL
2,3,27.3587,28.8685,0.7316,0.8171,0.0000,-1,1.00,SUSPECT
2,4,27.6229,28.8685,0.7453,0.8171,0.0000,0,5.15,NORMAL
2,5,25.6868,28.8685,0.6446,0.8171,0.0000,0,1.01,NORMAL
2,6,26.3090,28.8685,0.6762,0.8171,0.0000,0,1.09,NORMAL
2,7,27.5771,28.8685,0.7432,0.8171,0.0000,-1,1.00,SUSPECT
2,8,26.5725,28.8685,0.6902,0.8171,0.0000,0,1.16,NORMAL
2,9,27.0622,28.8685,0.7129,0.8171,0.0000,0,1.52,NORMAL
2,10,28.1585,28.8685,0.7742,0.8171,0.0000,0,1.48,NORMAL
2,11,28.1845,28.8685,0.7755,0.8171,0.0000,0,1.24,NORMAL
2,12,27.5099,28.8685,0.7396,0.8171,0.0000,0,1.02,NORMAL
2,13,26.3405,28.8685,0.6766,0.8171,0.0000,0,1.10,NORMAL
2,14,26.5581,28.8685,0.6889,0.8171,0.0000,0,1.26,NORMAL
2,15,26.6617,28.8685,0.6948,0.8171,0.0000,0,1.10,NORMAL
2,16,27.6563,28.8685,0.7476,0.8171,0.0000,0,2.31,NORMAL
2,17,27.7274,28.8685,0.7497,0.8171,0.0000,-1,1.00,SUSPECT
2,18,27.2778,28.8685,0.7268,0.8171,0.0000,0,1.40,NORMAL
2,19,28.0183,28.8685,0.7672,0.8171,0.0000,-1,1.00,SUSPECT
3,0,25.3284,27.0901,0.6255,0.7140,0.0000,0,1.00,SUSPECT
3,1,25.3967,27.0901,0.6304,0.7140,0.0000,0,2.52,NORMAL
3,2,23.3562,27.0901,0.5332,0.7140,0.0000,0,1.03,NORMAL
3,3,25.8163,27.0901,0.6509,0.7140,0.0000,-1,0.00,KICKED
3,4,24.6919,27.0901,0.5959,0.7140,0.0000,0,1.71,NORMAL
3,5,24.8779,27.0901,0.6043,0.7140,0.0000,0,2.38,NORMAL
3,6,23.3220,27.0901,0.5307,0.7140,0.0000,0,1.02,NORMAL
3,7,25.5054,27.0901,0.6345,0.7140,0.0000,-1,0.00,KICKED
3,8,24.5641,27.0901,0.5885,0.7140,0.0000,0,1.18,NORMAL
