Round,Client_ID,Full_L2,L2_Threshold,Full_Var,Var_Threshold,Min_Cos,Comb_Cluster,Score,Status
1,0,33.6895,34.4205,1.1083,1.1609,0.0000,-1,1.00,SUSPECT
1,1,33.8946,34.4205,1.1216,1.1609,0.0000,0,1.38,NORMAL
1,2,32.9161,34.4205,1.0586,1.1609,0.0000,-1,1.00,SUSPECT
1,3,32.4139,34.4205,1.0270,1.1609,0.0000,0,1.10,NORMAL
1,4,33.2142,34.4205,1.0757,1.1609,0.0000,0,1.83,NORMAL
1,5,33.4356,34.4205,1.0916,1.1609,0.0000,0,1.63,NORMAL
1,6,33.3065,34.4205,1.0813,1.1609,0.0000,-1,1.00,SUSPECT
1,7,33.5931,34.4205,1.1010,1.1609,0.0000,0,2.44,NORMAL
1,8,33.0152,34.4205,1.0619,1.1609,0.0000,0,3.81,NORMAL
1,9,31.4075,34.4205,0.9574,1.1609,0.0000,-1,1.00,SUSPECT
1,10,33.3630,34.4205,1.0863,1.1609,0.0000,0,1.56,NORMAL
1,11,31.7084,34.4205,0.9817,1.1609,0.0000,-1,1.00,SUSPECT
1,12,33.6006,34.4205,1.1036,1.1609,0.0000,-1,1.26,NORMAL
1,13,32.4838,34.4205,1.0309,1.1609,0.0000,0,1.18,NORMAL
1,14,33.0216,34.4205,1.0659,1.1609,0.0000,-1,1.21,NORMAL
1,15,32.3388,34.4205,1.0219,1.1609,0.0000,-1,1.00,SUSPECT
1,16,32.3374,34.4205,1.0207,1.1609,0.0000,0,1.08,NORMAL
1,17,33.4060,34.4205,1.0907,1.1609,0.0000,0,1.21,NORMAL
1,18,35.2055,34.4205,1.2111,1.1609,0.0000,0,1.00,SUSPECT
1,19,33.9260,34.4205,1.1251,1.1609,0.0000,-1,1.32,NORMAL
2,0,28.7419,29.3873,0.8074,0.8361,0.0000,0,1.10,NORMAL
2,1,27.2480,29.3873,0.7228,0.8361,0.0000,0,1.00,SUSPECT
2,2,27.6294,29.3873,0.7459,0.8361,0.0000,-1,1.00,SUSPECT
2,3,25.8863,29.3873,0.6540,0.8361,0.0000,0,1.00,SUSPECT
2,4,28.2118,29.3873,0.7780,0.8361,0.0000,0,1.00,SUSPECT
