Round,Client_ID,Full_L2,L2_Threshold,Full_Var,Var_Threshold,Min_Cos,Comb_Cluster,Score,Status
1,0,4299.0737,35.2889,18058.5469,1.2133,0.5101,-1,1.00,"SUSPECT(full:L2,layer_conv1.weight:L2,full:Var,layer_co...)"
1,1,33.3497,35.2889,1.0864,1.2133,-0.0309,0,10.00,NORMAL
1,2,33.4335,35.2889,1.0927,1.2133,-0.0092,0,10.00,NORMAL
1,3,4285.0845,35.2889,17948.7480,1.2133,0.4742,-1,1.00,"SUSPECT(full:L2,layer_conv1.weight:L2,full:Var,layer_co...)"
1,4,33.4453,35.2889,1.0933,1.2133,-0.0533,0,10.00,NORMAL
1,5,33.9049,35.2889,1.1227,1.2133,0.0363,0,10.36,NORMAL
1,6,4139.9829,35.2889,16739.4727,1.2133,0.4847,-1,1.00,"SUSPECT(full:L2,layer_conv1.weight:L2,full:Var,layer_co...)"
1,7,32.9476,35.2889,1.0601,1.2133,-0.0282,0,10.00,NORMAL
1,8,33.9735,35.2889,1.1282,1.2133,-0.0062,0,10.00,NORMAL
1,9,33.6899,35.2889,1.1089,1.2133,0.0253,0,10.25,NORMAL
1,10,32.4656,35.2889,1.0302,1.2133,0.0073,0,10.07,NORMAL
1,11,31.7452,35.2889,0.9851,1.2133,0.0449,0,10.45,NORMAL
1,12,34.2651,35.2889,1.1471,1.2133,0.0592,0,10.59,NORMAL
1,13,33.2384,35.2889,1.0794,1.2133,-0.0037,0,10.00,NORMAL
1,14,34.4237,35.2889,1.1583,1.2133,-0.0006,0,10.00,NORMAL
1,15,32.8617,35.2889,1.0556,1.2133,0.0649,0,10.65,NORMAL
1,16,33.8214,35.2889,1.1182,1.2133,-0.0052,0,10.00,NORMAL
1,17,33.6758,35.2889,1.1081,1.2133,-0.0058,0,10.00,NORMAL
1,18,4173.8857,35.2889,17028.0547,1.2133,0.4886,-1,1.00,"SUSPECT(full:L2,layer_conv1.weight:L2,full:Var,layer_co...)"
1,19,32.9803,35.2889,1.0632,1.2133,0.0330,0,10.33,NORMAL
2,0,4313.3813,28.5925,18183.2695,0.7951,0.4608,-1,1.00,"SUSPECT(full:L2,layer_conv1.weight:L2,full:Var,layer_co...)"
2,1,27.6094,28.5925,0.7436,0.7951,0.0359,0,10.36,NORMAL
2,2,26.8756,28.5925,0.7049,0.7951,0.0491,0,10.49,NORMAL
2,3,4378.2183,28.5925,18683.0859,0.7951,0.4725,-1,1.00,"SUSPECT(full:L2,layer_conv1.weight:L2,full:Var,layer_co...)"
2,4,25.4119,28.5925,0.6312,0.7951,0.0460,0,10.46,NORMAL
2,5,26.8184,28.5925,0.7030,0.7951,0.0231,0,10.23,NORMAL
2,6,4215.9355,28.5925,17371.8789,0.7951,0.4592,-1,1.00,"SUSPECT(full:L2,layer_conv1.weight:L2,full:Var,layer_co...)"
2,7,26.5044,28.5925,0.6863,0.7951,0.0035,0,10.04,NORMAL
2,8,26.4832,28.5925,0.6854,0.7951,-0.0136,0,10.00,NORMAL
2,9,27.4560,28.5925,0.7362,0.7951,-0.0157,0,10.00,NORMAL
2,10,26.1673,28.5925,0.6689,0.7951,0.0793,0,10.79,NORMAL
2,11,25.8847,28.5925,0.6543,0.7951,0.0267,0,10.27,NORMAL
2,12,27.0597,28.5925,0.7153,0.7951,0.0387,0,10.39,NORMAL
2,13,26.1303,28.5925,0.6661,0.7951,0.0250,0,10.25,NORMAL
2,14,25.9407,28.5925,0.6578,0.7951,0.0306,0,10.31,NORMAL
2,15,27.6577,28.5925,0.7477,0.7951,0.0355,0,10.35,NORMAL
2,16,26.9376,28.5925,0.7091,0.7951,0.0043,0,10.04,NORMAL
2,17,26.3306,28.5925,0.6756,0.7951,0.0448,0,10.45,NORMAL
2,18,4375.3916,28.5925,18708.1055,0.7951,0.4677,-1,1.00,"SUSPECT(full:L2,layer_conv1.weight:L2,full:Var,layer_co...)"
2,19,26.7767,28.5925,0.7008,0.7951,0.0651,0,10.65,NORMAL
3,0,4375.8608,28.1808,18685.2363,0.7668,0.5130,-1,0.00,KICKED
3,1,24.8478,28.1808,0.6012,0.7668,0.0083,0,10.08,NORMAL
3,2,26.0182,28.1808,0.6616,0.7668,0.0060,0,10.06,NORMAL
3,3,4285.9746,28.1808,17929.6719,0.7668,0.5026,0,0.00,KICKED
3,4,24.6193,28.1808,0.5925,0.7668,0.0042,0,10.04,NORMAL
3,5,25.4560,28.1808,0.6334,0.7668,-0.0079,0,10.00,NORMAL
3,6,4209.9473,28.1808,17320.5020,0.7668,0.4783,-1,0.00,KICKED
3,7,24.9767,28.1808,0.6092,0.7668,0.0363,0,10.36,NORMAL
3,8,24.9798,28.1808,0.6096,0.7668,0.0407,0,10.41,NORMAL
3,9,27.3891,28.1808,0.7333,0.7668,0.0567,0,10.57,NORMAL
3,10,25.5229,28.1808,0.6359,0.7668,-0.0234,-1,1.00,SUSPECT(layer_conv1.weight:Clust)
3,11,26.5172,28.1808,0.6865,0.7668,0.0466,0,10.47,NORMAL
3,12,26.9160,28.1808,0.7079,0.7668,0.0434,0,10.43,NORMAL
3,13,24.2066,28.1808,0.5723,0.7668,-0.0463,0,10.00,NORMAL
3,14,24.9499,28.1808,0.6082,0.7668,0.0019,0,10.02,NORMAL
3,15,25.7469,28.1808,0.6479,0.7668,-0.0245,0,10.00,NORMAL
3,16,26.0610,28.1808,0.6598,0.7668,0.0161,-1,1.00,SUSPECT(layer_conv1.weight:Clust)
3,17,26.4335,28.1808,0.6820,0.7668,-0.0062,0,10.00,NORMAL
3,18,4250.1147,28.1808,17615.6367,0.7668,0.4712,-1,0.00,KICKED
3,19,25.5812,28.1808,0.6395,0.7668,-0.0216,0,10.00,NORMAL
4,0,4378.4741,27.5300,18738.2715,0.7280,0.4769,-1,0.00,KICKED
4,1,25.1681,27.5300,0.6192,0.7280,-0.0386,-1,1.00,SUSPECT(layer_conv1.weight:Clust)
4,2,25.5419,27.5300,0.6326,0.7280,0.0113,-1,1.00,SUSPECT(layer_conv1.weight:Clust)
4,3,4496.3813,27.5300,19762.1289,0.7280,0.4850,-1,0.00,KICKED
4,4,24.0320,27.5300,0.5640,0.7280,-0.0089,0,10.00,NORMAL
4,5,26.1635,27.5300,0.6682,0.7280,0.0446,-1,1.00,SUSPECT(layer_conv1.weight:Clust)
4,6,4265.3853,27.5300,17779.9629,0.7280,0.5017,-1,0.00,KICKED
4,7,24.9376,27.5300,0.6078,0.7280,0.0044,-1,1.00,SUSPECT(layer_conv1.weight:Clust)
4,8,24.9360,27.5300,0.6066,0.7280,-0.0400,-1,1.00,SUSPECT(layer_conv1.weight:Clust)
4,9,24.9513,27.5300,0.6079,0.7280,0.0100,-1,1.00,SUSPECT(layer_conv1.weight:Clust)
4,10,25.0398,27.5300,0.6127,0.7280,0.0298,0,10.30,NORMAL
